                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1647,                0.98577,                 1.0322,                0.85909,                0.68562,                0.82334,                 0.6037,                0.75918,                0.68434,                0.81024,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     34,                 1.0419,                0.82885,                0.97647,                0.85227,                0.67913,                0.82623,                0.60906,                 0.7471,                0.67525,                0.80512,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     35,                 1.1106,                 1.3327,                0.87698,                0.81811,                0.69526,                0.83218,                0.60867,                0.73761,                0.67628,                0.80614,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     36,                0.99027,                0.76287,                 1.0186,                0.82055,                0.71061,                0.82679,                0.61948,                0.72826,                 0.6634,                0.79954,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     37,                0.77218,                0.74044,                0.99757,                0.82754,                0.70341,                0.82474,                0.61228,                0.72738,                0.64924,                0.80041,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     38,                0.96074,                0.89835,                0.93443,                0.84205,                0.67137,                0.82482,                0.61439,                0.72591,                0.63228,                0.80098,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     39,                 1.0592,                0.86143,                 0.9652,                0.83352,                0.65597,                0.82393,                0.61275,                0.72508,                0.63397,                0.79933,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     40,                0.97466,                0.89222,                0.97444,                0.79067,                0.71477,                0.82033,                0.61783,                0.71911,                0.62967,                0.79814,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     41,                0.78307,                 1.0085,                 0.8345,                0.73009,                0.73922,                0.82357,                 0.6171,                 0.7146,                0.63996,                0.79401,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     42,                 1.1918,                 1.0031,                 1.0492,                0.74854,                0.73044,                 0.8171,                0.61036,                0.71436,                0.65738,                0.79083,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     43,                0.79712,                 1.2681,                0.85342,                0.72546,                0.75797,                 0.8088,                0.60899,                0.71146,                 0.6553,                0.78804,              2.004e-05,              2.004e-05,              2.004e-05
                     44,                0.94312,                 1.4419,                0.79822,                0.71985,                0.75874,                0.79886,                0.60244,                0.71009,                  0.653,                0.78691,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     45,                0.84829,                      1,                0.77115,                0.71619,                0.73094,                0.79793,                0.59944,                0.70523,                0.64215,                0.78496,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     46,                0.96487,                0.96851,                0.86942,                0.71325,                0.71701,                0.79616,                0.59902,                0.70362,                0.63331,                0.78475,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     47,                0.95715,                 1.1451,                 0.9391,                0.84675,                0.60645,                0.79297,                0.59771,                0.70193,                0.62874,                0.78349,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     48,                 1.3301,                 1.2526,                 1.0199,                0.87011,                0.60645,                0.79805,                0.59772,                0.70146,                0.62639,                0.78352,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     49,                0.76125,                0.93935,                  0.764,                0.91989,                0.60635,                0.79785,                0.59739,                0.70517,                0.62474,                0.78502,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     50,                0.84062,                 1.0885,                0.82717,                0.92355,                0.60573,                0.79693,                0.59647,                0.70176,                0.62479,                0.78407,             3.5462e-06,             3.5462e-06,             3.5462e-06
